supplier_id,supplier_name,contact_name,phone,email,category,timezone,order_id,item_description,quantity,unit_cost_usd,total_value_usd,committed_delivery_date,destination_facility,scenario_status,scenario_revised_date,scenario_delay_days,scenario_delay_category,scenario_reason,scenario_expedited_freight_cost,scenario_escalation_name,scenario_escalation_phone
SUP-101,Apex Microelectronics Corp,David Miller,+1-555-010-4821,dmiller@apexmicro.com,Critical Electronics,America/Chicago,PO-91001,Optical Proximity Sensors (Model OP-40),10000,4.5,45000.0,2026-09-18,DC-04 Bentonville Facility,ON_TIME,2026-09-18,0,NONE,"All 10,000 sensors passed QA testing and departed our Austin plant via FedEx Freight.",0.0,David Miller,+1-555-010-4821
SUP-104,Metro Fasteners & Industrial Hardware,Samira Khan,+1-555-019-3312,skhan@metrofasteners.com,Standard Hardware,America/Chicago,PO-91004,M6 Grade 8 Stainless Steel Flange Bolts,50000,0.15,7500.0,2026-09-14,DC-12 Atlanta Distribution Hub,ON_TIME,2026-09-14,0,NONE,"Palletized and staged on loading dock, scheduled for pickup by Old Dominion Freight.",0.0,Samira Khan,+1-555-019-3312
SUP-REAL-001,MicroSilicon Global Corp,Dave / Fulfillment Coordinator,+1-563-281-3105,dave@microsiliconglobal.com,Critical Electronics,America/Chicago,PO-88219,"5,000 Microcontroller Units",5000,28.5,142500.0,2026-09-15,DC-04 Bentonville Facility,DELAYED,2026-09-22,7,RAW_MATERIAL_SHORTAGE,Wafer fabrication substrate delay and raw silicon batch backorder.,3200.0,Dave / Fulfillment Coordinator,+1-563-281-3105
SUP-102,Pacific Packaging Solutions,Maria Gomez,+1-555-014-9923,mgomez@pacificpackaging.com,Packaging & Corrugated,America/Los_Angeles,PO-91002,Heavy-Duty Corrugated Master Cartons (24x18x18),25000,1.2,30000.0,2026-09-15,DC-08 Dallas Logistics Center,PARTIAL_DISPATCH,2026-09-20,5,RAW_MATERIAL_SHORTAGE,"Polymer resin adhesive shipment delayed at the port; 15,000 cartons shipped today, remaining 10,000 delayed.",850.0,Maria Gomez (Operations Manager),+1-555-014-9923
SUP-103,Global Precision Machining,Arthur Pendelton,+1-555-018-7734,apendelton@globalprecision.com,Castings & Enclosures,America/Detroit,PO-91003,Die-Cast Aluminum Sensor Enclosures,3000,18.5,55500.0,2026-09-16,DC-04 Bentonville Facility,DELAYED,2026-09-22,6,QUALITY_CONTROL_HOLD,Batch calibration variance detected during coordinate measuring inspection; re-machining required.,2200.0,Karen Vance (VP Quality),+1-555-018-7740
SUP-125,NexGen Circuitry Labs,Julian Zhao,+1-555-085-7766,jzhao@nexgencircuit.com,Critical Electronics,America/Los_Angeles,PO-91025,12-Layer HDI Printed Circuit Board Assemblies,4500,38.0,171000.0,2026-09-20,DC-06 Chicago Tech Hub,PARTIAL_DISPATCH,2026-09-24,4,QUALITY_CONTROL_HOLD,"First batch of 3,000 PCBs passed automated optical inspection and shipped; 1,500 units held for solder-mask re-cure.",1800.0,Julian Zhao (Engineering Director),+1-555-085-7766
SUP-107,Titan Heavy Dynamics,Marcus Thorne,+1-555-023-4112,mthorne@titanheavy.com,Heavy Mechanics,America/Chicago,PO-91007,Structural Steel Chassis Crossmembers,800,95.0,76000.0,2026-09-21,DC-08 Dallas Logistics Center,DELAYED,2026-09-28,7,PRODUCTION_HALT,Robotic welding cell spindle bearing failure halted assembly line 3 for 72 hours.,2800.0,Marcus Thorne (Plant Manager),+1-555-023-4112
SUP-122,Mach Precision Castings,Evelyn Reed,+1-555-074-6688,ereed@machprecision.com,Castings & Enclosures,America/Detroit,PO-91022,Sand-Cast Magnesium Motor Housings,1200,52.0,62400.0,2026-09-19,DC-08 Dallas Logistics Center,DELAYED,2026-09-26,7,PRODUCTION_HALT,"Induction melting furnace crucible lining inspection showed degradation, requiring emergency refit.",3500.0,Evelyn Reed (VP Manufacturing),+1-555-074-6688
SUP-105,Zenith Hydraulics & Motion Systems,Robert Hayes,+1-555-012-6644,rhayes@zenithmotion.com,Electro-Mechanical,America/New_York,PO-91005,Double-Acting Hydraulic Actuator Cylinders,400,125.0,50000.0,2026-09-17,DC-04 Bentonville Facility,DELAYED,2026-09-24,7,LOGISTICS_PORT_CONGESTION,Intermodal rail container hold at Port of Long Beach caused a 5-day inland transit delay.,3400.0,Robert Hayes (Operations Director),+1-555-012-6644
SUP-131,OptoCore Photonics Corp,Valerie Chang,+1-555-104-3311,vchang@optocore.com,Optics & Sensors,America/Los_Angeles,PO-91031,Fiber Optic Transceiver Modules (100G QSFP28),800,135.0,108000.0,2026-09-21,DC-06 Chicago Tech Hub,DELAYED,2026-09-27,6,LOGISTICS_PORT_CONGESTION,Laser diode component air shipment stranded during Singapore transit hub customs audit.,2700.0,Valerie Chang (Global Supply Director),+1-555-104-3311
